name,website,state,market
Apothecary Farms,https://apothecaryfarms.com,CO,rec+medical
Ascend Cannabis Co,https://ascendcannabisco.com,CO,rec+medical
bgood Northglenn,https://bgoodmmj.com,CO,rec+medical
Billo Premium Cannabis,https://mybillo.com,CO,rec+medical
Cannabis Studio,https://mycannabisstudio.com,CO,rec+medical
CannacoCBD,https://cannacocbd.com,CO,rec+medical
Cherry Peak Dispensary,https://yumaway.com,CO,rec+medical
Colorado Exotic Harvest Company,https://coloradoharvestcompany.com,CO,rec+medical
Discover CBD,https://discovercbd.com,CO,rec+medical
Dispensary of Denver Leafb,https://leafbuyer.com,CO,rec+medical
Eclipse Cannabis,https://eclipsecannabis.com,CO,rec+medical
Elevated Dispensary,https://elevatedlongmont.com,CO,rec+medical
Elevations,https://elevationsmmj.com,CO,rec+medical
Emerald Fields,https://emeraldfields.com,CO,rec+medical
Fired Cannabis - Peoria,https://firedcannabis.com,CO,rec+medical
Five Star Grow Supply,https://fivestargrowsupply.com,CO,rec+medical
Freedom Road,https://freedomroad.com,CO,rec+medical
Frost Exotic Cannabis,https://frostdenverdispensary.com,CO,rec+medical
Galaxy Greens,https://galaxygreens.com,CO,rec+medical
Gold Care Natural Agricultural Products,https://goldcarecbd.com,CO,rec+medical
Good Chemistry,https://goodchem.org,CO,rec+medical
Green Cross Caregivers,https://cannabisdenver.com,CO,rec+medical
Green Dragon,https://greendragon.com,CO,rec+medical
Helping Hands Cannabis,https://helpinghandscannabis.com,CO,rec+medical
Herbal Fracture,https://herbalfracture.com,CO,rec+medical
Herban Underground,https://herbanunderground.com,CO,rec+medical
High Valley Cannabis,https://hvcannabis.com,CO,rec+medical
Igadi,https://igadiltd.com,CO,rec+medical
JARS Cannabis Dispensary - Mile High,https://jarscannabis.com,CO,rec+medical
KAI Dispensary,https://kaidispensary.com,CO,rec+medical
Karing Kind,https://karingkind.com,CO,rec+medical
Kika Kush,https://kikakush.com,CO,rec+medical
Kind Love Dispensary,https://cannabisstoredenver.com,CO,rec+medical
KindCare,https://kindcare.co,CO,rec+medical
KrystaLeaves,https://krystaleaves.com,CO,rec+medical
Life Flower Dispensary,https://lifeflowerdispensary.com,CO,rec+medical
LivWell,https://livwell.com,CO,rec+medical
Lucky Me Dispensary,https://luckymedispensary.com,CO,rec+medical
Maggie's Farm,https://maggiesfarmmarijuana.com,CO,rec+medical
Medicine Man,https://medicinemandenver.com,CO,rec+medical
Mile High Dispensary,https://mhdbuds.com,CO,rec+medical
Mile High's Finest,https://milehighsfinest.shop,CO,rec+medical
Natural Alternatives,https://naturalalternativesforhealth.com,CO,rec+medical
Nature's Medicine,https://naturesmedicinesalida.com,CO,rec+medical
Northern Lights,https://nlcannabis.com,CO,rec+medical
Oasis Cannabis Superstore,https://oasissuperstore.com,CO,rec+medical
One:Eleven,https://1-eleven.com,CO,rec+medical
Provisions Dispensary,https://provisionsdispensary.com,CO,rec+medical
Rocky Mountain Cannabis,https://rockymountaincannabis.com,CO,rec+medical
Rocky Road,https://rockyroad.com,CO,rec+medical
Seed & Smith,https://seedandsmith.com,CO,rec+medical
Silver Stem Fine Cannabis,https://silverstemcannabis.com,CO,rec+medical
Smokin' Gun Apothecary,https://smokingunapothecary.com,CO,rec+medical
Star Buds,https://starbudscolorado.com,CO,rec+medical
Starbuds,https://starbuds.us,CO,rec+medical
Terps Dispensary,https://terpsdispensary.com,CO,rec+medical
Terry's Natural Market,https://terrysnaturals.com,CO,rec+medical
The Bud Depot,https://buddepotdispensary.com,CO,rec+medical
The Cannabis Depot,https://cannabisdepotco.com,CO,rec+medical
The CBD Store,https://cbdstoregreeley.com,CO,rec+medical
The Dispo,https://the-dispo.business.site,CO,rec+medical
The Farm Recreational Marihuana Dispensary,https://thefarmco.com,CO,rec+medical
The Giving Tree Marijuana,https://tgtree.com,CO,rec+medical
The Green Solution,https://tgscolorado.com,CO,rec+medical
The Greenery,https://durangogreenery.com,CO,rec+medical
The Kind Castle,https://kindcastle.com,CO,rec+medical
The Stone,https://thestone.com,CO,rec+medical
Trap House,https://traphousecolorado.com,CO,rec+medical
Trees,https://trees.menu,CO,rec+medical
Verts Neighborhood Dispensary,https://vertsdispensary.com,CO,rec+medical
Xclusive Cannabis,https://xclusivecolorado.com,CO,rec+medical
253 Farmacy,https://253farmacy.com,MA,rec
Apex Noire Cannabis Dispensary,https://apexnoire.com,MA,rec
Apothka,https://apothca.com,MA,rec
Apotho Therapeutics,https://apothotherapeutics.com,MA,rec
Ascend Newton,https://letsascend.com,MA,rec
AYR Somerville (Medical) Dispensary,https://ayradispensaries.com,MA,rec
Balagan Cannabis,https://balagancannabis.com,MA,rec
Bask,https://cometobask.com,MA,rec
Berkshire Roots,https://berkshireroots.com,MA,rec
BlazeXpress Delivery Dispensary,https://blazexpress.com,MA,rec
Blue River,https://blueriverterps.com,MA,rec
Bud's Goods & Provisions - Worcester Cannabis Dispensary,https://budsgoods.com,MA,rec
bwell,https://bwell.life,MA,rec
Campfire Cannabis Dispensary,https://campfirecannabis.com,MA,rec
Canna Provisions,https://cannaprovisionsgroup.com,MA,rec
Canna Provisions,https://cannaprovisions.com,MA,rec
Cannabis Connection,https://ccofwestfield.com,MA,rec
Cannabis Connection Of West Springfield,https://ccofwestside.com,MA,rec
Cannabist,https://patriotcare.org,MA,rec
Cape Cod Cannabis,https://capecodcannabis.com,MA,rec
Caroline's Cannabis,https://carolinescannabis.com,MA,rec
Clear Sky Cannabis,https://shopclearsky.com,MA,rec
CommCan,https://commcan.com,MA,rec
Curaleaf,https://ma.curaleaf.com,MA,rec
Enlite Cannabis Dispensary,https://enlitecannabis.com,MA,rec
Ethos Cannabis,https://ethoscannabis.com,MA,rec
Farnsworth Fine Cannabis Company,https://farnsworthfinecannabis.com,MA,rec
Full Harvest Moonz,https://fullharvestmoonz.com,MA,rec
Garden Remedies Newton,https://gardenremedies.com,MA,rec
Good Chemistry,https://ma.goodchem.org,MA,rec
Green 4 All,https://green4allbrockton.com,MA,rec
Green Meadows,https://greenmeadows.com,MA,rec
Hadleaf Cannabis,https://hadleafdispensary.com,MA,rec
Haven Center,https://havencenter.me,MA,rec
"Heal, Inc",https://healmj.com,MA,rec
Health Circle ma,https://healthcirclema.com,MA,rec
Heka Inc,https://hekainc.com,MA,rec
Hennep,https://hennep.com,MA,rec
High Profile X Budega of Boston Dispensary,https://highprofilecannabis.com,MA,rec
Holyoke Cannabis,https://holyokecannabis.com,MA,rec
Honey,https://honeynorthampton.com,MA,rec
INSA Cannabis Dispensary Springfield,https://insa.com,MA,rec
INSA Easthampton,https://myinsa.com,MA,rec
Jack's Cannabis Co.,https://jackscannabisco.com,MA,rec
Lazy River Products,https://lazyriverproducts.com,MA,rec
Liberty Cannabis,https://libertycannabis.com,MA,rec
Local Roots Cannabis Crafted,https://localroots.cc,MA,rec
Mass Alternative Care,https://massaltcare.com,MA,rec
Mayflower Medicinals Dispensary,https://mayflowermass.com,MA,rec
Mission Dispenseries,https://missiondispensaries.com,MA,rec
Native Sun,https://nativesuncannabis.com,MA,rec
New England Treatment Access,https://netacare.org,MA,rec
Northeast Alternatives,https://nealternatives.com,MA,rec
REBELLE Dispensary Boston South End,https://letsrebelle.com,MA,rec
Resinate,https://iresinate.com,MA,rec
Sanctuary Medicinals,https://sanctuarymed.com,MA,rec
Seagrass,https://seagrasssalem.com,MA,rec
Seed,https://seedyourhead.com,MA,rec
Silver Therapeutics,https://silver-therapeutics.com,MA,rec
"Solar Therapeutics, Inc.",https://solarthera.com,MA,rec
Starbird Cannabis Dispensary,https://starbirdsalem.com,MA,rec
Stem Haverhill,https://stemhaverhill.com,MA,rec
Sunnyside,https://sunnyside.shop,MA,rec
Temescal Wellness,https://ma.temescalwellness.com,MA,rec
The Boston Garden Cannabis Dispensary,https://boston.garden,MA,rec
The Botanist,https://shopbotanist.com,MA,rec
The Goods,https://thegoodsforall.com,MA,rec
The Heirloom Collective,https://theheirloomcollective.us,MA,rec
The Piping Plover Cannabis Dispensary,https://pipingplover.co,MA,rec
Theory Wellness,https://theorywellness.org,MA,rec
Toy Town Health Care,https://toytownthc.com,MA,rec
Verilife,https://verilife.com,MA,rec
Western Front,https://westernfrontus.com,MA,rec
Your CBD Store Brookline,https://brookline560.cbdrx4u.com,MA,rec
CBD Republic,https://cbd-republic.com,MO,rec+medical
Codes,https://codesdispensary.com,MO,rec+medical
Fresh Karma,https://freshkarmakc.com,MO,rec+medical
From the Earth Dispensary,https://ftemo.com,MO,rec+medical
Good Day Farm Eagleville,https://gooddayfarmdispensary.com,MO,rec+medical
Green Releaf,https://greenreleafdispensary.com,MO,rec+medical
Heritage House Maryville,https://shophg.com,MO,rec+medical
Homestate Dispensary,https://homestatedispensary.com,MO,rec+medical
Key Cannabis Dispensary,https://keycannabis.com,MO,rec+medical
Proper Cannabis Crestwood,https://propercannabis.com,MO,rec+medical
Root 66 Dispensary,https://root66cannabis.com,MO,rec+medical
Swin Dispensaries,https://swindispensaries.com,MO,rec+medical
420 Sahara,https://420sahara.com,NV,rec
Greenlight Marijuana Dispensary Ely,https://greenlightdispensary.com,NV,rec
Inyo Fine Cannabis Dispensary,https://inyolasvegas.com,NV,rec
J. Whitney & co.,https://jwhitneyco.com,NV,rec
Natural CBD CBG For Me,https://cbdcbgforme.com,NV,rec
Planet 13 Las Vegas Marijuana Dispensary,https://planet13lasvegas.com,NV,rec
RISE,https://risecannabis.com,NV,rec
AYR Dispensary Goshen,https://ayrdispensaries.com,OH,rec+medical
Bear River Dispensary,https://thebearriver.com,OH,rec+medical
Bloom Medicinals,https://bloomohio.com,OH,rec+medical
Columbia Care Dispensary,https://oh.columbia.care,OH,rec+medical
Culture of Akron,https://cultureofakron.com,OH,rec+medical
Nectar,https://nectarohio.com,OH,rec+medical
Ohio CBD Guy,https://ohiocbdguy.com,OH,rec+medical
Saphyre Dispensary,https://saphyredispensary.com,OH,rec+medical
The Botanist,https://shopbotanistohio.com,OH,rec+medical
The CBD Dispensary,https://purecbd1.com,OH,rec+medical
The Landing Dispensary,https://thelandingdispensaries.com,OH,rec+medical
The Vault,https://thevaultoh.com,OH,rec+medical
